,Need for Cognition,Need for closure,Susceptibility to persuasion,Skepticism,AI Expertise
2,0.75,0.375,0.75,0.5625,0.875
3,0.6875,0.375,0.6666666666666666,0.75,0.5
6763fe3ad8eeb4e6d8ce1328,0.75,0.875,0.5,0.5625,0.875
6769242286e30dd21cd8b084,1.0,1.0,1.0,1.0,0.75
664cd0f96e4b6f2e98b4ff03,0.6875,0.625,0.3333333333333333,0.6875,0.5625
5e020766b633b5db8b72c15b,0.875,0.5,0.5,0.875,0.75
66159ddb528ea605871b6e15,0.75,0.5,0.6666666666666666,0.5625,0.8125
666b21f5d7612ba25e34262c,0.625,0.75,0.6666666666666666,0.875,0.5
642afb016e098d3731a28cea,0.6875,0.625,0.5833333333333334,0.75,0.5
6543164e03fd084d9773d558,0.6875,0.625,0.6666666666666666,0.9375,0.625
6017ff67d472ae3ae159096c,0.5,0.375,0.6666666666666666,0.625,0.6875
5eeaaece96011c1cb0aefdc2,0.375,0.125,0.9166666666666666,0.4375,0.4375
670d2513894d1c633eeb11a6,1.0,0.75,0.5833333333333334,0.9375,0.8125
6130f605465cea9ed74f490b,0.8125,0.625,0.6666666666666666,0.875,0.375
6696e840c5e2853994c23211,0.625,0.375,0.5,0.8125,0.625
65faee440578e47facaf0488,0.6875,0.75,0.9166666666666666,1.0,0.6875
610c486ee989fa525258cbb6,0.875,0.75,1.0,0.875,0.8125
66c5f76d9a214b469f6476c8,0.75,0.875,0.75,0.8125,0.6875
676d002e094fbe05a9f02fd8,0.375,0.75,0.8333333333333334,0.75,0.5
5731e0665b8b06000f7e359f,0.5,0.5,0.9166666666666666,0.875,0.4375
6660b464ed99e0653e63a0ca,0.625,0.5,0.75,0.625,0.625
665580fd26e2dcb8ac45ff38,0.8125,0.625,0.5833333333333334,0.8125,0.6875
610d45e26c9b141264755d3c,0.625,0.5,1.0,1.0,0.75
672a5352b4019154e972f98e,0.5,0.75,0.9166666666666666,0.9375,0.5625
6234d4fd9f5c8f0d5fa01ec8,0.5625,0.25,0.75,0.875,0.625
66a0ff0c8be1bf8871835386,0.75,0.375,0.75,0.6875,0.6875
6720caefd15d2dade5c8a9de,0.4375,0.75,1.0,1.0,0.5625
610a545e57efd9a197696c77,0.9375,1.0,0.8333333333333334,0.9375,0.6875
60f6e9558bba832322d5cf25,0.75,0.75,0.6666666666666666,0.625,0.625
676c33a837a28914650c4962,0.4375,0.875,0.75,0.875,0.5625
66a7ae3f433c3c0cac1fc69c,0.4375,0.875,0.9166666666666666,0.875,0.875
