,PROLIFIC_PID,ExplanationPair,Need_for_Cognition,Need_for_closure,Susceptibility_to_persuasion,Skepticism,AI_Expertise,Domain,flipped_dim,MetricType,Evaluation
30,2,000000v000010,0.75,0.375,0.75,0.5625,0.875,low,Detail,Trustworthiness,1
31,2,000000v000010,0.75,0.375,0.75,0.5625,0.875,low,Detail,Transparency,1
32,2,000000v000010,0.75,0.375,0.75,0.5625,0.875,low,Detail,Usefulness,1
33,2,000000v000100,0.75,0.375,0.75,0.5625,0.875,low,Formality,Trustworthiness,1
34,2,000000v000100,0.75,0.375,0.75,0.5625,0.875,low,Formality,Transparency,1
35,2,000000v000100,0.75,0.375,0.75,0.5625,0.875,low,Formality,Usefulness,1
36,2,000111v010111,0.75,0.375,0.75,0.5625,0.875,low,Length,Trustworthiness,1
37,2,000111v010111,0.75,0.375,0.75,0.5625,0.875,low,Length,Transparency,1
38,2,000111v010111,0.75,0.375,0.75,0.5625,0.875,low,Length,Usefulness,1
39,2,001010v001110,0.75,0.375,0.75,0.5625,0.875,low,Formality,Trustworthiness,1
40,2,001010v001110,0.75,0.375,0.75,0.5625,0.875,low,Formality,Transparency,1
41,2,001010v001110,0.75,0.375,0.75,0.5625,0.875,low,Formality,Usefulness,1
42,2,010011v010111,0.75,0.375,0.75,0.5625,0.875,low,Formality,Trustworthiness,1
43,2,010011v010111,0.75,0.375,0.75,0.5625,0.875,low,Formality,Transparency,1
44,2,010011v010111,0.75,0.375,0.75,0.5625,0.875,low,Formality,Usefulness,1
45,2,100010v100110,0.75,0.375,0.75,0.5625,0.875,high,Formality,Trustworthiness,1
46,2,100010v100110,0.75,0.375,0.75,0.5625,0.875,high,Formality,Transparency,1
47,2,100010v100110,0.75,0.375,0.75,0.5625,0.875,high,Formality,Usefulness,1
48,2,101000v111000,0.75,0.375,0.75,0.5625,0.875,high,Length,Trustworthiness,0
49,2,101000v111000,0.75,0.375,0.75,0.5625,0.875,high,Length,Transparency,0
50,2,101000v111000,0.75,0.375,0.75,0.5625,0.875,high,Length,Usefulness,0
51,2,101101v101111,0.75,0.375,0.75,0.5625,0.875,high,Detail,Trustworthiness,0
52,2,101101v101111,0.75,0.375,0.75,0.5625,0.875,high,Detail,Transparency,1
53,2,101101v101111,0.75,0.375,0.75,0.5625,0.875,high,Detail,Usefulness,1
54,2,110100v111100,0.75,0.375,0.75,0.5625,0.875,high,Structure,Trustworthiness,1
55,2,110100v111100,0.75,0.375,0.75,0.5625,0.875,high,Structure,Transparency,1
56,2,110100v111100,0.75,0.375,0.75,0.5625,0.875,high,Structure,Usefulness,1
57,2,111010v111011,0.75,0.375,0.75,0.5625,0.875,high,Persuasiveness,Trustworthiness,1
58,2,111010v111011,0.75,0.375,0.75,0.5625,0.875,high,Persuasiveness,Transparency,0
59,2,111010v111011,0.75,0.375,0.75,0.5625,0.875,high,Persuasiveness,Usefulness,0
60,3,000001v010001,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Trustworthiness,1
61,3,000001v010001,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Transparency,1
62,3,000001v010001,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Usefulness,1
63,3,000101v010101,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Trustworthiness,0
64,3,000101v010101,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Transparency,0
65,3,000101v010101,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Usefulness,0
66,3,001011v011011,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Trustworthiness,1
67,3,001011v011011,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Transparency,1
68,3,001011v011011,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Length,Usefulness,1
69,3,010010v010110,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Formality,Trustworthiness,0
70,3,010010v010110,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Formality,Transparency,0
71,3,010010v010110,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Formality,Usefulness,0
72,3,011001v011011,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Detail,Trustworthiness,1
73,3,011001v011011,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Detail,Transparency,1
74,3,011001v011011,0.6875,0.375,0.6666666666666666,0.75,0.5,low,Detail,Usefulness,1
75,3,100100v110100,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Length,Trustworthiness,1
76,3,100100v110100,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Length,Transparency,1
77,3,100100v110100,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Length,Usefulness,1
78,3,100110v100111,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Persuasiveness,Trustworthiness,1
79,3,100110v100111,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Persuasiveness,Transparency,1
80,3,100110v100111,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Persuasiveness,Usefulness,1
81,3,101010v101011,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Persuasiveness,Trustworthiness,1
82,3,101010v101011,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Persuasiveness,Transparency,1
83,3,101010v101011,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Persuasiveness,Usefulness,1
84,3,101101v111101,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Length,Trustworthiness,1
85,3,101101v111101,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Length,Transparency,1
